method,total,potency,novelty,resistance,qed,sa
random,0.058329173911394694,0.36869513988494873,0.9924680115929829,0.9797933518527031,0.05903195413828892,0.417027703163739
genetic_algorithm,0.33646408434445496,0.3217789620161057,0.9915752840804462,0.9774264869604277,0.0604159529572252,0.468216429544713
hill_climbing,0.09464182494848353,0.351797154545784,0.9920054136920925,0.9785653889327482,0.06111998494878462,0.42119917942415963
smiles_rnn,0.4786746936414669,0.3271597266197205,0.9741480166263978,0.9327537657562438,0.03500314938697599,0.7597172717025608
