method,scaffold_diversity,internal_diversity,lipinski_pass
random,6.147792942333702e-05,0.8727453428284458,0.9910242223041928
genetic_algorithm,0.01,0.4773578727064487,0.05
hill_climbing,0.001001001001001001,0.8595901500847937,0.8908908908908909
smiles_rnn,0.0003086896125945362,0.32575689352972126,0.03773730513968205
