potency,novelty,resistance,qed,sa,size_gate,ad_gate,composition,total,probe,smiles,phase
0.5065686106681824,0.991422514586288,0.9770226300899744,0.3727855551576051,0.805825786783401,0.05451461126277972,0.25,0.04446512905317737,0.015954820534357553,phase1 tiny,CC,phase1
0.4963518977165222,0.9870462724693041,0.9655548043337889,0.3854706587740357,0.916115884596113,0.06606742669146992,0.3035714285714285,0.04446512905317737,0.020561422121638088,phase1 small,CCC,phase1
0.4601151645183563,0.987715989926347,0.9672988349231034,0.46327091845476276,0.8880495760334723,0.0799360108538783,0.4722222222222221,0.3723019410068791,0.03426567336862102,phase1 small N,CCCN,phase1
0.395416796207428,0.9897627128375664,0.9726532132038171,0.4687855098011332,0.9222643020337059,0.09652344994741975,1.0,0.04446512905317737,0.0347146635157184,phase1 5atom,CCCCC,phase1
0.3951486051082611,0.9891280562187068,0.9709889500439555,0.5124148721749513,0.8917518759982028,0.09652344994741975,0.8888888888888888,0.40129831042751435,0.04573497317100253,phase1 5atom CN,CCCCN,phase1
0.44938376545906067,0.9906840406549333,0.975075573352886,0.6249632033912724,0.8475329996257867,0.32759516312193826,0.25,0.18081649886825932,0.11927699489221137,mid 14atom,CCCCN1CCCCC1CC,phase1
0.41682934761047363,0.9623621017612418,0.903904333728791,0.687564801735423,0.9070154423976208,0.32759516312193826,0.5714285714285713,0.36716681726349903,0.15014368403948553,mid 14 ringy,c1ccc(CCN)cc1CCN,phase1
0.537245512008667,0.9825412784471479,0.9539244937506807,0.7972777346017864,0.7439465841831442,0.8928128194396038,0.4259259259259258,0.5598030584813757,0.45737830974085997,novel 21atom drug-like,CCC1=CC2=C(N=C1)N=C(NC3CCCCC3O)N=C2N,phase1
0.2740248441696167,0.9426758241011313,0.8581489350995123,0.6299508037431197,0.8920156652369555,0.7094830826771139,0.9732142857142856,0.6969114606100401,0.39501894282132644,novel 32atom drug-like,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3ccc(cc3)C(=O)NCc4ccncc4,phase1
0.5136117935180664,0.01798620996209156,0.0066928509242848554,0.674878289478739,0.7192215089487565,0.9929110829923402,1.0,0.9272334063965075,0.451824625602137,drug ampicillin,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,phase1
0.7645903825759888,0.01798620996209156,0.0066928509242848554,0.8932298763507216,0.837199926996389,0.9929110829923402,1.0,0.9713948794384271,0.6074757377508256,drug ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,phase1
0.5466899871826172,0.9870462724693041,0.9655548043337889,0.7851402624726983,0.786274631611401,0.3814884798610515,0.25,0.00021427366484805054,0.1219519190886813,drug halicin,Nc1nnc(SC2=NN=C(N)S2)s1,phase1
0.4930618405342102,0.9938120691664493,0.9833564246898147,0.2923151041334133,0.3748230076868561,0.3814884798610515,0.25,2.1086113535256718e-05,0.0832722722473414,hack polysulfide,FN=C1N(SSOF)C1(F)n1[nH]s1,phase1
0.589409351348877,0.994328796986259,0.9847328461196255,0.5995016671506997,0.23210007504789054,0.5043478530103983,0.25,0.00029563572221239615,0.1184946452497888,hack S-O chain,FOC12n3[nH]on4n3C13OSSC23OS4,phase1
0.5293189287185669,0.9965330841652127,0.9906317536264603,0.3229024012079631,0.5761608361758537,0.4406408108553792,0.25,5.370378984510652e-17,0.10946900184484497,hack pure S,S1SSSSSSSSSSSSS1,phase1
0.5065686106681824,0.991422514586288,0.9770226300899744,0.3727855551576051,0.805825786783401,0.020511884988549327,0.25,0.04446512905317737,0.006003224387607969,phase1 tiny,CC,phase3
0.4963518977165222,0.9870462724693041,0.9655548043337889,0.3854706587740357,0.916115884596113,0.02498002524763822,0.3035714285714285,0.04446512905317737,0.0077742522971941536,phase1 small,CCC,phase3
0.4601151645183563,0.987715989926347,0.9672988349231034,0.46327091845476276,0.8880495760334723,0.030402052036245034,0.4722222222222221,0.3723019410068791,0.01303225884906976,phase1 small N,CCCN,phase3
0.395416796207428,0.9897627128375664,0.9726532132038171,0.4687855098011332,0.9222643020337059,0.03697228667005558,1.0,0.04446512905317737,0.013297084717307808,phase1 5atom,CCCCC,phase3
0.3951486051082611,0.9891280562187068,0.9709889500439555,0.5124148721749513,0.8917518759982028,0.03697228667005558,0.8888888888888888,0.40129831042751435,0.01751829777993558,phase1 5atom CN,CCCCN,phase3
0.44938376545906067,0.9906840406549333,0.975075573352886,0.6249632033912724,0.8475329996257867,0.13967076774691237,0.25,0.18081649886825932,0.05085395429034056,mid 14atom,CCCCN1CCCCC1CC,phase3
0.41682934761047363,0.9623621017612418,0.903904333728791,0.687564801735423,0.9070154423976208,0.13967076774691237,0.5714285714285713,0.36716681726349903,0.0640140209101287,mid 14 ringy,c1ccc(CCN)cc1CCN,phase3
0.537245512008667,0.9825412784471479,0.9539244937506807,0.7972777346017864,0.7439465841831442,0.5714888149193137,0.4259259259259258,0.5598030584813757,0.2927675124195334,novel 21atom drug-like,CCC1=CC2=C(N=C1)N=C(NC3CCCCC3O)N=C2N,phase3
0.2740248441696167,0.9426758241011313,0.8581489350995123,0.6299508037431197,0.8920156652369555,0.9719640389607584,0.9732142857142856,0.6969114606100401,0.5411604821948355,novel 32atom drug-like,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3ccc(cc3)C(=O)NCc4ccncc4,phase3
0.5136117935180664,0.01798620996209156,0.0066928509242848554,0.674878289478739,0.7192215089487565,0.7761430771391022,1.0,0.9272334063965075,0.3531842490721505,drug ampicillin,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,phase3
0.7645903825759888,0.01798620996209156,0.0066928509242848554,0.8932298763507216,0.837199926996389,0.7761430771391022,1.0,0.9713948794384271,0.47485429104522275,drug ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,phase3
0.5466899871826172,0.9870462724693041,0.9655548043337889,0.7851402624726983,0.786274631611401,0.16720744745169736,0.25,0.00021427366484805054,0.053451860748406826,drug halicin,Nc1nnc(SC2=NN=C(N)S2)s1,phase3
0.4930618405342102,0.9938120691664493,0.9833564246898147,0.2923151041334133,0.3748230076868561,0.16720744745169736,0.25,2.1086113535256718e-05,0.03649846540858109,hack polysulfide,FN=C1N(SSOF)C1(F)n1[nH]s1,phase3
0.589409351348877,0.994328796986259,0.9847328461196255,0.5995016671506997,0.23210007504789054,0.2366206790139346,0.25,0.00029563572221239615,0.05559314518969956,hack S-O chain,FOC12n3[nH]on4n3C13OSSC23OS4,phase3
0.5293189287185669,0.9965330841652127,0.9906317536264603,0.3229024012079631,0.5761608361758537,0.19937542755384996,0.25,5.370378984510652e-17,0.049531111302063176,hack pure S,S1SSSSSSSSSSSSS1,phase3
