method,n,mean,max,top10,top100
random,16266,0.011720655839827059,0.09598162432398256,0.07992288534199252,0.06045292293323893
genetic_algorithm,38,0.12487300346807456,0.15813944904412297,0.13999733641974438,0.12487300346807456
hill_climbing,996,0.0433491898093421,0.1799294431368351,0.135092336077104,0.10963844961228307
smiles_rnn,7545,0.3340380617897654,0.5313487666028824,0.5166547893510609,0.499829158969156
