size_c,n,total_mean,total_std,total_p5,total_p95,potency_mean,potency_std,qed_std,sa_std
20.0,500,0.0700157216272521,0.02545007736879949,0.03416642036441556,0.11491728915598749,0.5157831042408944,0.07475374550472257,0.1417053953800195,0.08243725375656977
25.0,500,0.04335931850375002,0.025200882133072016,0.01426508009578456,0.0966976297686068,0.5119879273176193,0.0786661961392352,0.13988059809731504,0.08403409070917488
30.0,500,0.023784824149529663,0.020074095799543414,0.006140037091365804,0.06530315214781171,0.5141606220901013,0.07747120077371297,0.14428518341655705,0.07353115106967374
35.0,500,0.012071194129252614,0.01141709100870914,0.0023884636787842536,0.032646575172875295,0.5134629586338997,0.07869814594040378,0.1447261892389958,0.07432276036018332
