smiles,score
CC(O)(SF)N(SCl)C(C(SOS)N(S)Cl)(C(Cl)N(O)CS)C(C)(O)CF,0.10977747553536771
CCS[SH](Cl)C(F)C(SS)C(SSN(N)Cl)(C(C)C)C(F)(COCl)OCl,0.10915970609051107
CCC(F)(C(F)(CCl)CON)C(CCCl)(C(F)NCl)N(Cl)ON(F)C(F)F,0.10905498815819333
CON(OOCl)C(Cl)(C(NOO)C(OF)C(Cl)CO)S(F)(CN)COCCl,0.1087935080055284
ONSS(F)(CCl)[SH](OCl)N(SCl)SOC(F)(Cl)SOC(F)(F)C(F)F,0.1084909656575394
CSC(SC(F)(F)S)(C(CCl)C(NN)N(O)Cl)N(S)N(N)N(S)N(N)F,0.10818953118823983
CN(N)SN(S)C(N)(SSO)C(SN(F)Cl)(C(F)CCl)N(Cl)C(C)(N)O,0.10665958503545504
NOC(S)(NF)N(N(NS)ONSCl)C(SSCl)(C(S)C(F)(F)S)N(Cl)SCl,0.10660477519128737
CCC(F)C(N)(Cl)N(SC)C(F)(OCl)C(F)(F)N(S)C(N)C(C)(Cl)SF,0.10639888111495134
OCCC(SSF)(C(S)N(O)F)S(Cl)(SC(Cl)Cl)C(Cl)(SCS)C(Cl)Cl,0.10533893268214507
CC(Cl)C(C)(N(OCl)S(F)(NN)SNOF)C(CF)(SS)SOCF,0.10454141237781414
CC(F)(C(F)OCl)C(O)(CCl)C(F)(Cl)C(CS)(OF)C(CN)C(O)F,0.10437483447205782
COSC(Cl)(SCl)C(Cl)(C(SF)SF)C(CS)(NOS)S(Cl)(CCl)NO,0.10378567913356208
FCN(Cl)C(F)OOC(F)(CF)C(F)(CCl)N(Cl)N(F)N(CF)N(Cl)SF,0.1034193454071692
CCC(CF)(N(Cl)C(S)C(C)(NF)SCl)C(C)(F)C(F)(CNOO)NCl,0.10274969247001144
CN(S)C(N(C(N)Cl)C(C)(N)NS)(C(C)(C)S)S(F)(N(F)Cl)N(Cl)OF,0.1021399180907617
CC(S)N(ON(Cl)SOCl)C(F)(CNN)SN(CF)C(C)C(S)(S)ON,0.10178993320584605
CSC(Cl)(Cl)C(CNO)(N(F)S(Cl)(NF)C(O)(Cl)NCl)C(N)(F)SCl,0.10150882114716421
CC(Cl)(SCl)C(F)C(Cl)(N(F)OC(SC(N)(F)Cl)N(S)CCl)C(S)(Cl)Cl,0.1014560637522699
NN(CN(C(S)(SF)C(Cl)N(F)C(S)C(S)Cl)C(Cl)(Cl)N(F)CO)OCl,0.10089905062617621
CC(F)(NNN)SN(C(C)(NCl)SCF)S(C)(OCl)S(O)(S)NON,0.10075684901575177
NCCC(N)(S)S(F)(OC(F)(CCF)SOCl)N(Cl)C(O)(NO)OS,0.10065450627221208
COC(NOSF)(SCl)C(CO)(OCl)C(C)(SOF)N(F)N(O)OCCl,0.10063464176820026
CN(F)NC(F)(SO)C(NCl)(OCl)C(O)(CF)SCC(Cl)(SO)SCF,0.10053874308025607
NC(C(N)(O)SF)C(F)(F)C(N(F)SOS)(N(Cl)N(O)F)[SH](F)C(N)(F)S,0.10052525127391632
CNC(CC(F)(NS)C(C)SCl)C(C)(OF)C(C)(OOSCl)SCF,0.09990496687580118
CCC(CCF)(SF)C(Cl)(NN(Cl)NSF)N(S)C(N)C(F)(Cl)OCl,0.09982180981598798
CCN(SF)C(OOOON(OF)N(NCO)[SH](F)Cl)(SC)SCCl,0.09974652151327179
CCC(Cl)(SN(F)OO)C(NCl)(SOCCl)N(CF)C(C)(SF)SCl,0.09947482653924274
NCC(CF)(OC(F)S)SC(O)(OC(COS)(OCl)SCl)C(S)SF,0.09918953369603165
OOC(F)N(S)C(Cl)(Cl)C(F)(Cl)C(F)(SO)C(Cl)(OCl)C(F)(Cl)SOS,0.0989422916025433
CN(Cl)C(F)(F)C(F)(C(F)C(F)(SSO)SSCS)C(N)(Cl)C(F)SN,0.09741905282271725
CN(OCl)SN(N(CNS)C(C)(NCl)C(F)(NSF)SCl)C(F)(F)Cl,0.0970191510635128
CSC(CCl)(OF)N(O)C(O)(SN)C(COCl)(OC(F)F)N(O)SCl,0.09696892532101285
NSN(Cl)CC(O)(Cl)C(N(S)Cl)(N(OCl)C(N)Cl)C(N)(F)OC(F)F,0.09594849758087994
NNC(CC(F)Cl)(OSC(Cl)C(Cl)Cl)C(F)(OCC(S)SOCl)SN,0.09590510660272905
NCC(F)(Cl)CC(CCl)S(CSF)(N(Cl)SF)C(O)(NNN)SNS,0.09551538743768075
CSC(F)(Cl)C(C)C(F)(N(OCl)OC(C)N(C)Cl)C(C)(CN)OCl,0.09527575488296204
CNC(N)(CCl)C(F)(Cl)N(SCO)C(CCl)(NS)N(NSN)SSC,0.09516505733176965
CC(S)N(CSF)C(CCl)(OSCF)OC(CS)SCC(C)(N)Cl,0.09490054498053699
COSC(C(N)OF)(C(F)(CSN)CC(N)F)C(F)(CNF)C(O)SS,0.0944634686238333
CON(CSCl)C(C)(F)C(N)(OS)C(F)(Cl)N(C(F)CF)C(C)OS,0.09310200643051682
FNOC(NCl)(OOC(F)(SCl)C(S)(O[SH](CSS)OSCl)SF)SF,0.09306743934313835
OOOC(Cl)S(Cl)(N(CN(Cl)Cl)OOCl)N(CN(S)SCl)SOCl,0.09278342737708677
CSC(OSF)(N(N(C)OF)C(C)(NF)C(N)(O)O)S(N)(Cl)C(F)Cl,0.09265170593879353
COSC(F)(N(C)C(OO)OF)N(C(Cl)Cl)C(O)(CF)C(C)(F)OC,0.09235404235344329
CCC(F)C(OSOCl)(N(Cl)N(F)Cl)C(S)(CN(C)F)C(C)SCl,0.09226420970130211
CC(O)(OC(N)SF)SN(Cl)C(Cl)(SCO)C(O)(Cl)N(OCl)SNN,0.09218955872590334
CC(CF)(CN(N)S)C(C)(F)C(Cl)(SCl)C(F)(Cl)C(Cl)C(F)OO,0.0918581284845057
