metric,mean,std,min,max,range,n_seeds
n,20023.333333,5.859465,20019.0,20030.0,11.0,3
pearson_r,0.179746,0.012646,0.169448,0.193861,0.024413,3
binary_agreement,0.665126,0.009058,0.654968,0.672361,0.017394,3
gnn_active_fraction,0.117878,0.006458,0.113043,0.125212,0.01217,3
mic_threshold,10.0,0.0,10.0,10.0,0.0,3
agreement_threshold,0.5,0.0,0.5,0.5,0.0,3
