method,metric,mean,std,min,max,range,n_seeds
genetic_algorithm,n,95.0,22.715633,79.0,121.0,42.0,3
genetic_algorithm,mean,0.332885,0.103493,0.256259,0.450615,0.194357,3
genetic_algorithm,max,0.466083,0.018027,0.448243,0.484291,0.036048,3
genetic_algorithm,top10,0.460846,0.021131,0.439383,0.481627,0.042245,3
genetic_algorithm,top100,0.348338,0.097579,0.256259,0.450615,0.194357,3
hill_climbing,n,994.333333,2.309401,993.0,997.0,4.0,3
hill_climbing,mean,0.09299,0.000573,0.092558,0.093639,0.001082,3
hill_climbing,max,0.315386,0.056377,0.250388,0.351023,0.100635,3
hill_climbing,top10,0.244361,0.014568,0.231727,0.260296,0.028569,3
hill_climbing,top100,0.191765,0.002737,0.189903,0.194907,0.005004,3
random,n,16326.0,80.894994,16266.0,16418.0,152.0,3
random,mean,0.027177,8e-05,0.027121,0.027268,0.000147,3
random,max,0.196738,0.031052,0.174438,0.232204,0.057766,3
random,top10,0.15342,0.005926,0.147656,0.159496,0.01184,3
random,top100,0.119841,0.002941,0.118115,0.123237,0.005122,3
smiles_rnn,n,1991.0,1482.322165,538.0,3501.0,2963.0,3
smiles_rnn,mean,0.394508,0.099159,0.332264,0.508857,0.176593,3
smiles_rnn,max,0.627101,0.079069,0.556825,0.712715,0.15589,3
smiles_rnn,top10,0.601672,0.072523,0.536449,0.67977,0.143321,3
smiles_rnn,top100,0.565891,0.062781,0.503034,0.628595,0.125561,3
